No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Note
333,Wednesday,26-11-25,35878,36,El-BATAL,DPL,23-11-25,,,50.427,Fill,MARINA C,BH-5,LAYER-3,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
334,Wednesday,26-11-25,35877,36,El-BATAL,DPL,23-11-25,,,55.183,Fill,MARINA C,BH-6,LAYER-7,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
335,Wednesday,26-11-25,35876,36,NEESR EL-ARABY,DPL,23-11-25,,,49.113,Fill,MARINA C,B-18,LAYER-20,4,,,APPROVED AS NOTED,DONE,2,EIDG,3,
336,Wednesday,26-11-25,35875,36,MOKHTAR ELSHENAWY,DPL,23-11-25,,,47.406,Fill,MARINA C,BH-10,LAYER-18,7,,,APPROVED AS NOTED,DONE,2,EIDG,3,
337,Wednesday,26-11-25,35874,36,MOKHTAR ELSHENAWY,DPL,23-11-25,,,53.153,Fill,MARINA C,BH-14,LAYER-10,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
338,Wednesday,26-11-25,35873,36,NEESR EL-ARABY,DPL,23-11-25,,,45.624,Fill,MARINA C,B-17,LAYER-20,3,,,APPROVED AS NOTED,DONE,2,EIDG,3,
339,Wednesday,26-11-25,35872,36,SAAD SHETA,DPL,24-11-25,,,47.127,Fill,MARINA C,B-20,LAYER-19,7,,,APPROVED AS NOTED,DONE,2,EIDG,2,
340,Wednesday,26-11-25,35871,36,U-MARK,DPL,23-11-25,,,50.377,Fill,MARINA C,BH-2,LAYER-8,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
341,Wednesday,26-11-25,35937,36,MOKHTAR ELSHENAWY,DPL,23-11-25,,,50.559,Fill,MARINA C,BH-9,LAYER-19,6,,,APPROVED AS NOTED,DONE,2,EIDG,3,
342,Wednesday,26-11-25,35938,36,U-MARK,DPL,24-11-25,,,56.316,Fill,MARINA C,BH-11,LAYER-1,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
343,Wednesday,26-11-25,35939,36,U-MARK,DPL,24-11-25,,,56.828,Fill,MARINA C,BH-12,LAYER-2,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
344,Wednesday,26-11-25,35940,36,U-MARK,DPL,24-11-25,,,51.887,Fill,MARINA C,BH-13,LAYER-3,3,,,APPROVED AS NOTED,DONE,2,EIDG,2,
345,Wednesday,26-11-25,35951,36,El-BATAL,DPL,24-11-25,,,61.713,Fill,MARINA C,BH-5,LAYER-4,4,,,APPROVED AS NOTED,DONE,2,EIDG,2,
346,Wednesday,26-11-25,35952,36,MOKHTAR ELSHENAWY,DPL,24-11-25,,,50.362,Fill,MARINA C,BH-10,LAYER-19,8,,,APPROVED AS NOTED,DONE,2,EIDG,2,
347,Wednesday,26-11-25,35953,36,U-MARK,DPL,24-11-25,,,50.917,Fill,MARINA C,B-12,LAYER-13,9,,,APPROVED AS NOTED,DONE,2,EIDG,2,
348,Wednesday,26-11-25,35980,36,El-BATAL,DPL,25-11-25,,,56.533,Fill,MARINA C,BH-7,LAYER-10,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,
349,Wednesday,26-11-25,35928,36,MOKHTAR ELSHENAWY,DPL,24-11-25,,,48.892,Fill,MARINA C,BH-14,LAYER-11,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
350,Wednesday,26-11-25,35979,36,El-BATAL,DPL,25-11-25,,,50.622,Fill,MARINA C,BH-8,LAYER-12,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,
351,Wednesday,26-11-25,35929,36,El-BATAL,DPL,24-11-25,,,44.801,Fill,MARINA C,BH-6,LAYER-8,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
352,Wednesday,26-11-25,35930,36,El-BATAL,DPL,24-11-25,,,67.754,Fill,MARINA C,B-13,LAYER-12,5,,,APPROVED AS NOTED,DONE,2,EIDG,2,
353,Wednesday,26-11-25,35931,36,El-BATAL,DPL,24-11-25,,,59.989,Fill,MARINA C,B-15,LAYER-10,3,,,APPROVED AS NOTED,DONE,2,EIDG,2,
354,Wednesday,26-11-25,35932,36,El-BATAL,DPL,24-11-25,,,53.358,Fill,MARINA C,B-15,LAYER-12,5,,,APPROVED AS NOTED,DONE,2,EIDG,2,
355,Wednesday,26-11-25,35936,36,MOKHTAR ELSHENAWY,DPL,23-11-25,,,51.35,Fill,MARINA C,BH-8,LAYER-17,4,,,APPROVED AS NOTED,DONE,2,EIDG,3,
356,Wednesday,26-11-25,35982,36,El-BATAL,DPL,25-11-25,,,45.687,Fill,MARINA C,BH-5,LAYER-5,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,
357,Wednesday,26-11-25,35981,36,El-BATAL,DPL,25-11-25,,,50.564,Fill,MARINA C,BH-6,LAYER-9,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,
358,Wednesday,26-11-25,35984,36,U-MARK,DPL,25-11-25,,,42.79,Fill,MARINA C,BH-12,LAYER-3,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,
359,Wednesday,26-11-25,35983,36,U-MARK,DPL,25-11-25,,,44.739,Fill,MARINA C,BH-11,LAYER-2,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
360,Wednesday,26-11-25,35986,36,MOKHTAR ELSHENAWY,DPL,25-11-25,,,43.437,Fill,MARINA C,BH-10,LAYER-20,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,
361,Wednesday,26-11-25,35985,36,U-MARK,DPL,25-11-25,,,44.175,Fill,MARINA C,BH-13,LAYER-4,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
362,Wednesday,26-11-25,35988,36,SAAD SHETA,DPL,25-11-25,,,46.109,Fill,MARINA C,B-20,LAYER-20,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,
363,Wednesday,26-11-25,35987,36,MOKHTAR ELSHENAWY,DPL,25-11-25,,,56.26,Fill,MARINA C,BH-14,LAYER-12,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
364,Wednesday,26-11-25,35995,36,U-MARK,DPL,25-11-25,,,43.235,Fill,MARINA C,BH-1,LAYER-9,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
365,Wednesday,26-11-25,35994,36,U-MARK,DPL,25-11-25,,,54.529,Fill,MARINA C,BH-2,LAYER-9,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
366,Wednesday,26-11-25,35993,36,U-MARK,DPL,25-11-25,,,43.367,Fill,MARINA C,BH-3,LAYER-9,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
367,Wednesday,26-11-25,35992,36,U-MARK,DPL,25-11-25,,,49.133,Fill,MARINA C,BH-4,LAYER-9,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
368,Wednesday,26-11-25,35991,36,U-MARK,DPL,25-11-25,,,45.332,Fill,MARINA C,B-12,LAYER-14,8,,,APPROVED AS NOTED,DONE,2,EIDG,1,
369,Wednesday,26-11-25,35990,36,NEESR EL-ARABY,DPL,25-11-25,,,49.018,Fill,MARINA C,B-17,LAYER-21,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,
370,Wednesday,26-11-25,35989,36,NEESR EL-ARABY,DPL,25-11-25,,,46.126,Fill,MARINA C,B-18,LAYER-21,7,,,APPROVED AS NOTED,DONE,2,EIDG,1,
371,Thursday,27-11-25,36024,36,U-MARK,DPL,26-11-25,,,43.725,Fill,MARINA C,BH-11,LAYER-3,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
372,Thursday,27-11-25,36023,36,U-MARK,DPL,26-11-25,,,47.906,Fill,MARINA C,BH-12,LAYER-4,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
373,Thursday,27-11-25,36022,36,U-MARK,DPL,26-11-25,,,56.922,Fill,MARINA C,BH-13,LAYER-5,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
374,Thursday,27-11-25,36021,36,MOKHTAR ELSHENAWY,DPL,26-11-25,,,52.023,Fill,MARINA C,BH-8,LAYER-18,7,,,APPROVED AS NOTED,DONE,2,EIDG,1,
375,Thursday,27-11-25,36020,36,MOKHTAR ELSHENAWY,DPL,26-11-25,,,49.156,Fill,MARINA C,BH-9,LAYER-20,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,
376,Thursday,27-11-25,36019,36,El-BATAL,DPL,26-11-25,,,51.105,Fill,MARINA C,B-13,LAYER-13,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,
377,Thursday,27-11-25,36018,36,El-BATAL,DPL,26-11-25,,,50.184,Fill,MARINA C,B-15,LAYER-11,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
378,Thursday,27-11-25,36017,36,El-BATAL,DPL,26-11-25,,,57.098,Fill,MARINA C,B-15,LAYER-13,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,
379,Saturday,29-11-25,36037,36,U-MARK,DPL,27-11-25,,,43.409,Fill,MARINA C,BH-3,LAYER-10,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
380,Saturday,29-11-25,36036,36,U-MARK,DPL,27-11-25,,,49.506,Fill,MARINA C,BH-4,LAYER-10,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
381,Saturday,29-11-25,36035,36,El-BATAL,DPL,27-11-25,,,46.483,Fill,MARINA C,BH-7,LAYER-11,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
382,Saturday,29-11-25,36034,36,El-BATAL,DPL,27-11-25,,,61.744,Fill,MARINA C,BH-6,LAYER-10,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
383,Saturday,29-11-25,36033,36,El-BATAL,DPL,27-11-25,,,63.932,Fill,MARINA C,BH-5,LAYER-6,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
384,Saturday,29-11-25,36032,36,El-BATAL,DPL,27-11-25,,,49.05,Fill,MARINA C,BH-8,LAYER-13,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
385,Saturday,29-11-25,36031,36,El-BATAL,DPL,27-11-25,,,58.259,Fill,MARINA C,BH-12,LAYER-15,6,,,APPROVED AS NOTED,DONE,2,EIDG,2,
386,Saturday,29-11-25,36030,36,SAAD SHETA,DPL,27-11-25,,,51.828,Fill,MARINA C,B-20,LAYER-21,4,,,APPROVED AS NOTED,DONE,2,EIDG,2,
387,Saturday,29-11-25,36029,36,SAAD SHETA,DPL,27-11-25,,,50.402,Fill,MARINA C,B-20,LAYER-22,4,,,APPROVED AS NOTED,DONE,2,EIDG,2,
388,Saturday,29-11-25,36028,36,EL-THNAA,DPL,27-11-25,,,52.414,Bottom of excavation,MARINA C,B-25,LAYER-0,4,,,APPROVED AS NOTED,DONE,2,EIDG,2,
389,Saturday,29-11-25,36027,36,U-MARK,DPL,27-11-25,,,44.026,Fill,MARINA C,BH-1,LAYER-10,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
390,Saturday,29-11-25,36026,36,U-MARK,DPL,27-11-25,,,44.026,Fill,MARINA C,BH-2,LAYER-10,2,,,APPROVED AS NOTED,DONE,2,EIDG,2,
391,Sunday,30-11-25,36049,36,NEESR EL-ARABY,SOIL,11-11-25,A-2-4,12.60%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,19,
392,Sunday,30-11-25,36050,36,El-BATAL,SOIL,16-11-25,A-2-4,15.90%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,14,
393,Sunday,30-11-25,36051,36,El-BATAL,SOIL,16-11-25,A-2-4,15.80%,,Stockpile,MARINA C,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,14,
